response,id,name,gender,race,height,weight,eye-color,hair-color,full_name,alter_egos,aliases,place_of_birth,first_appearance,publisher,alignment,group-affiliation,relatives,intelligence,strength,speed,durability,power,combat,occupation,base
success,225,Doctor Octopus,Male,Human,5'9,245 lb,Brown,Brown,Otto Octavius,No alter egos found.,Peter Benjamin Parker,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,5'9,245 lb,Brown,Brown,Otto Octavius,No alter egos found.,Superior Spider-Man,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,5'9,245 lb,Brown,Brown,Otto Octavius,No alter egos found.,Venom,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,5'9,245 lb,Brown,Brown,Otto Octavius,No alter egos found.,Superior Venom,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,Doctor Octopus,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,Doc Ock,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,The Master Planner,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,The Master Programmer,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,Peter Benjamin Parker,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,Superior Spider-Man,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,Venom,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,225,Doctor Octopus,Male,Human,175 cm,110 kg,Brown,Brown,Otto Octavius,No alter egos found.,Superior Venom,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,94,48,33,40,53,65,"Former atomic-research consultant, criminal mastermind",New York City
success,226,Doctor Strange,Male,Human,6'2,180 lb,Grey,Black,Stephen Strange,No alter egos found.,Sorcerer Supreme,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,6'2,180 lb,Grey,Black,Stephen Strange,No alter egos found.,Master of the Mystic Arts,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,6'2,180 lb,Grey,Black,Stephen Strange,No alter egos found.,Stephen Sanders,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,6'2,180 lb,Grey,Black,Stephen Strange,No alter egos found.,Captain Universe,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,6'2,180 lb,Grey,Black,Stephen Strange,No alter egos found.,Vincent Stevens,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,188 cm,81 kg,Grey,Black,Stephen Strange,No alter egos found.,Sorcerer Supreme,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,188 cm,81 kg,Grey,Black,Stephen Strange,No alter egos found.,Master of the Mystic Arts,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,188 cm,81 kg,Grey,Black,Stephen Strange,No alter egos found.,Stephen Sanders,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,188 cm,81 kg,Grey,Black,Stephen Strange,No alter egos found.,Captain Universe,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,226,Doctor Strange,Male,Human,188 cm,81 kg,Grey,Black,Stephen Strange,No alter egos found.,Vincent Stevens,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,"Sorcerer Supreme, retired neurosurgeon",-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Dom,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Samantha Wu,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Tamara Winter,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Elena Vladescu,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Jessica Marie Costello,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Luisa Mendoza,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Beatrice,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Christina Elizabeth Alioso,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Priscilla Sutherland,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,5'8,120 lb,Blue,Black,Neena Thurman,No alter egos found.,Hope Eldridge,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Dom,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Samantha Wu,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Tamara Winter,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Elena Vladescu,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Jessica Marie Costello,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Luisa Mendoza,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Beatrice,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Christina Elizabeth Alioso,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Priscilla Sutherland,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,227,Domino,Female,Human,173 cm,54 kg,Blue,Black,Neena Thurman,No alter egos found.,Hope Eldridge,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,-,-
success,228,Donatello,Male,Mutant,-,- lb,Green,No Hair,,No alter egos found.,Don,-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,-,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",88,14,46,60,58,75,-,-
success,228,Donatello,Male,Mutant,-,- lb,Green,No Hair,,No alter egos found.,Donnie,-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,-,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",88,14,46,60,58,75,-,-
success,228,Donatello,Male,Mutant,0 cm,0 kg,Green,No Hair,,No alter egos found.,Don,-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,-,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",88,14,46,60,58,75,-,-
success,228,Donatello,Male,Mutant,0 cm,0 kg,Green,No Hair,,No alter egos found.,Donnie,-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,-,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",88,14,46,60,58,75,-,-
success,229,Donna Troy,Female,Amazon,5'9,140 lb,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Donna Troy,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,5'9,140 lb,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Wonder Girl,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,5'9,140 lb,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Darkstar,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,5'9,140 lb,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Wonder Woman,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,5'9,140 lb,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Troia,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,175 cm,63 kg,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Donna Troy,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,175 cm,63 kg,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Wonder Girl,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,175 cm,63 kg,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Darkstar,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,175 cm,63 kg,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Wonder Woman,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,229,Donna Troy,Female,Amazon,175 cm,63 kg,Blue,Black,Donna Hinckley Stacey Troy,No alter egos found.,Troia,-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,"Titans of Myth, Teen Titans, Darkstars",-,null,89,null,null,null,null,-,-
success,230,Doomsday,Male,Alien,8'0,915 lb,Red,White,Doomsday,No alter egos found.,The Ultimate Lifeform,Krypton,Superman: The Man of Steel #17 (Nov 1992),DC Comics,bad,"Secret Society of Super Villains, Suicide Squad, Apokolips",-,75,100,67,100,100,90,Destroyer,-
success,230,Doomsday,Male,Alien,244 cm,412 kg,Red,White,Doomsday,No alter egos found.,The Ultimate Lifeform,Krypton,Superman: The Man of Steel #17 (Nov 1992),DC Comics,bad,"Secret Society of Super Villains, Suicide Squad, Apokolips",-,75,100,67,100,100,90,Destroyer,-
success,231,Doppelganger,Male,null,6'5,230 lb,White,No Hair,,No alter egos found.,The Spider-Man Doppelganger,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",8,63,60,95,69,84,-,-
success,231,Doppelganger,Male,null,6'5,230 lb,White,No Hair,,No alter egos found.,Spider-Doppelganger,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",8,63,60,95,69,84,-,-
success,231,Doppelganger,Male,null,6'5,230 lb,White,No Hair,,No alter egos found.,Mindless One,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",8,63,60,95,69,84,-,-
success,231,Doppelganger,Male,null,196 cm,104 kg,White,No Hair,,No alter egos found.,The Spider-Man Doppelganger,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",8,63,60,95,69,84,-,-
success,231,Doppelganger,Male,null,196 cm,104 kg,White,No Hair,,No alter egos found.,Spider-Doppelganger,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",8,63,60,95,69,84,-,-
success,231,Doppelganger,Male,null,196 cm,104 kg,White,No Hair,,No alter egos found.,Mindless One,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",8,63,60,95,69,84,-,-
success,232,Dormammu,Male,null,6'1,- lb,Yellow,No Hair,Dormammu,No alter egos found.,The Dread One,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
success,232,Dormammu,Male,null,6'1,- lb,Yellow,No Hair,Dormammu,No alter egos found.,Eater of Souls,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
success,232,Dormammu,Male,null,6'1,- lb,Yellow,No Hair,Dormammu,No alter egos found.,Lord of Chaos,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
success,232,Dormammu,Male,null,6'1,- lb,Yellow,No Hair,Dormammu,No alter egos found.,Lord of Darkness,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
success,232,Dormammu,Male,null,6'1,- lb,Yellow,No Hair,Dormammu,No alter egos found.,the Great Enigma,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
success,232,Dormammu,Male,null,6'1,- lb,Yellow,No Hair,Dormammu,No alter egos found.,Flyx,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
success,232,Dormammu,Male,null,185 cm,0 kg,Yellow,No Hair,Dormammu,No alter egos found.,The Dread One,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
success,232,Dormammu,Male,null,185 cm,0 kg,Yellow,No Hair,Dormammu,No alter egos found.,Eater of Souls,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,"Despot, conqueror",-
